Data_id,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
1272,37140,1316,0
1273,37355,1348,0
1274,37431,1358,0
1275,37510,1367,0
1276,37517,1367,0
1277,37637,1374,0
1278,37682,1379,0
1279,37682,1379,0
1280,37685,1379,0
1281,37685,1379,0
1282,37845,1387,0
1283,37942,1389,0
1284,37980,1389,0
1285,38039,1389,0
1286,38085,1391,0
1287,38156,1401,0
1288,38199,1405,0
1289,38215,1405,0
1290,38226,1406,0
1291,38229,1406,0
1292,38229,1406,0
1293,38248,1406,0
1294,38282,1410,0
1295,38329,1413,0
1296,38374,1413,0
1297,38374,1413,0
1298,38390,1413,0
1299,38484,1416,0
1300,38580,1419,0
1301,38606,1422,0
1302,38630,1424,0
1303,38658,1424,0
1304,38692,1424,0
1305,38727,1424,0
1306,38802,1424,0
1307,38858,1429,0
1308,38901,1430,0
1309,38941,1440,0
1310,38958,1440,0
1311,38969,1441,0
1312,39005,1441,0
1313,39130,1445,0
1314,39160,1448,0
1315,39182,1449,0
1316,39231,1450,0
1317,39256,1455,0
1318,39272,1455,0
1319,39278,1457,0
1320,39313,1457,0
1321,39325,1460,0
1322,39340,1462,0
1323,39354,1462,0
1324,39371,1462,0
1325,39376,1462,0
1326,39383,1466,0
1327,39427,1466,0
1328,39508,1470,0
1329,39572,1471,0
1330,39634,1473,0
1331,39702,1474,0
1332,39779,1476,0
1333,39789,1477,0
1334,39885,1481,0
1335,39956,1483,0
1336,40014,1484,0
1337,40080,1485,0
1338,40112,1485,0
1339,40159,1489,0
1340,40227,1492,0
1341,40286,1496,0
1342,40373,1501,0
1343,40461,1503,0
1344,40461,1503,0
1345,40510,1503,0
1346,40626,1505,0
1347,40687,1507,0
1348,40768,1511,0
1349,40833,1514,0
1350,40937,1518,0
1351,41032,1523,0
1352,41145,1529,0
1353,41268,1532,0
1354,41334,1533,0
1355,41425,1536,0
1356,41501,1536,0
1357,41633,1541,0
1358,41728,1544,0
1359,41814,1548,0
1360,41935,1554,0
1361,41975,1554,0
1362,42033,1556,0
1363,42159,1562,0
1364,42297,1574,0
1365,42463,1577,0
1366,42609,1581,0
1367,42795,1591,0
1368,42969,1595,0
1369,43035,1605,0
1370,43240,1617,0
1371,43403,1626,0
1372,43628,1638,0
1373,43851,1645,0
1374,44228,1650,0
1375,44443,1661,0
1376,44503,1675,0
1377,44706,1687,0
1378,44988,1695,0
1379,45278,1712,0
1380,45490,1725,0
1381,45716,1737,0
1382,45839,1740,0
1383,45966,1752,0
1384,46215,1763,0
1385,46498,1774,0
1386,46717,1795,0
1387,46980,1822,0
1388,47258,1841,0
1389,47388,1847,0
1390,47641,1865,0
1391,47901,1875,0
1392,48136,1902,0
